460
8;6,39
0;8,24
0;9,24
1;5,23
2;8,23
0;18,23
8;23,38
3;27,23
4;42,23
2;3,22
4;7,22
5;11,23
1;11,22
7;11,21
4;21,22
8;23,37
2;38,22
4;6,21
7;6,20
7;16,20
6;14,21
2;20,21
4;25,21
7;37,20
1;40,21
8;2,35
1;5,20
4;6,20
4;9,20
4;12,20
1;30,20
1;33,20
4;40,20
2;42,20
4;47,20
5;3,20
7;1,18
1;5,19
3;9,19
2;11,19
1;24,19
1;34,19
1;44,19
5;51,20
4;50,19
5;2,19
1;2,18
4;3,18
1;15,18
8;22,33
0;24,18
4;36,18
7;40,17
4;46,18
3;49,18
5;3,18
5;5,18
8;8,32
1;15,17
1;24,17
3;27,17
0;31,17
1;35,17
1;40,17
4;48,17
0;0,16
5;3,17
2;4,16
3;16,16
5;18,17
1;23,16
0;33,16
3;39,16
4;43,16
1;48,16
4;0,15
4;1,15
4;6,15
5;9,16
3;15,15
8;29,30
4;40,15
4;41,15
2;42,15
2;52,15
0;0,14
5;3,15
1;3,14
0;8,14
4;14,14
6;17,14
2;24,14
3;27,14
1;29,14
4;32,14
7;36,13
0;0,13
8;4,28
0;7,13
4;14,13
4;16,13
3;21,13
3;26,13
2;34,13
4;45,13
2;45,13
3;4,12
7;4,11
4;6,12
3;15,12
8;20,27
8;21,27
3;28,12
2;32,12
4;45,12
5;57,13
1;-1,11
7;-1,10
4;3,11
5;10,12
3;23,11
4;24,11
8;31,26
5;38,12
2;40,11
1;48,11
4;-1,10
0;4,10
6;11,10
8;19,25
1;20,10
1;29,10
2;36,10
8;40,25
3;42,10
5;49,11
4;-2,9
3;3,9
8;4,24
0;10,9
2;10,9
7;20,8
3;25,9
5;31,10
5;36,10
5;42,10
4;51,9
3;-3,8
2;-2,8
4;2,8
8;4,23
1;7,8
2;11,8
0;13,8
4;24,8
4;31,8
1;33,8
1;44,8
5;47,9
3;-1,7
4;7,7
4;11,7
4;18,7
5;21,8
3;24,7
0;31,7
5;40,8
7;42,6
2;-5,6
3;0,6
0;1,6
3;5,6
1;7,6
3;9,6
1;26,6
4;33,6
2;37,6
6;37,6
2;42,6
2;-3,5
1;-1,5
1;4,5
1;5,5
7;12,4
0;17,5
1;29,5
5;42,6
7;44,4
5;51,6
3;54,5
2;-5,4
1;-3,4
5;3,5
4;4,4
8;10,19
8;19,19
6;18,4
7;24,3
5;43,5
5;46,5
5;48,5
5;-2,4
3;-2,3
2;-2,3
1;4,3
1;10,3
6;9,3
2;23,3
3;34,3
2;34,3
1;47,3
4;53,3
6;-5,2
1;3,2
4;4,2
0;10,2
7;12,1
1;16,2
4;17,2
4;39,2
1;43,2
8;50,17
4;-2,1
2;3,1
2;4,1
8;6,16
1;12,1
6;14,1
3;27,1
2;32,1
7;42,0
2;48,1
3;-3,0
8;0,15
4;6,0
6;3,0
5;14,1
4;14,0
5;27,1
1;33,0
4;42,0
5;49,1
2;-5,-1
2;-4,-1
3;-1,-1
4;1,-1
1;14,-1
4;22,-1
4;31,-1
5;34,0
2;40,-1
5;54,0
5;57,0
3;-1,-2
2;-2,-2
0;7,-2
2;9,-2
1;11,-2
8;25,13
5;30,-1
4;37,-2
0;38,-2
8;42,13
5;-2,-2
0;-3,-3
7;4,-4
1;10,-3
6;6,-3
2;14,-3
5;28,-2
5;34,-2
7;34,-4
3;40,-3
6;43,-3
3;-2,-4
7;-1,-5
4;7,-4
1;10,-4
1;21,-4
3;29,-4
0;33,-4
1;34,-4
4;37,-4
1;40,-4
1;-2,-5
3;2,-5
5;5,-4
1;4,-5
3;14,-5
7;14,-6
4;29,-5
2;31,-5
6;32,-5
4;52,-5
7;-2,-7
6;-5,-6
3;4,-6
5;9,-5
8;14,9
4;20,-6
7;31,-7
5;35,-5
3;38,-6
8;45,9
3;54,-6
2;-3,-7
4;-1,-7
8;0,8
7;4,-8
3;15,-7
7;24,-8
7;34,-8
7;40,-8
0;42,-7
0;3,-8
2;4,-8
4;10,-8
4;20,-8
3;24,-8
1;35,-8
5;44,-7
3;54,-8
3;-1,-9
4;2,-9
3;6,-9
4;10,-9
8;15,6
8;20,6
2;20,-9
3;34,-9
7;41,-10
2;42,-9
3;47,-9
4;-4,-10
0;-2,-10
1;4,-10
7;5,-11
4;9,-10
1;22,-10
5;25,-9
2;30,-10
7;34,-11
1;37,-10
3;50,-10
2;-3,-11
8;-1,4
2;2,-11
5;10,-10
3;11,-11
4;14,-11
0;21,-11
6;33,-11
8;45,4
6;46,-11
6;-9,-12
4;1,-12
4;3,-12
4;9,-12
7;10,-13
7;12,-13
4;14,-12
4;31,-12
4;32,-12
6;29,-12
4;51,-12
6;-8,-13
3;1,-13
