11814
1;-4,191
1;43,191
1;90,191
1;137,191
2;-30,201
1;42,189
1;44,189
2;91,201
2;92,201
2;110,201
2;111,201
2;89,200
2;91,200
2;108,200
2;110,200
2;-29,199
1;41,187
1;43,187
1;88,187
1;92,187
0;105,215
2;89,199
2;91,199
2;105,199
0;125,215
2;108,199
2;-30,198
2;83,198
2;86,198
0;108,214
2;91,198
2;94,198
2;102,198
2;104,198
2;112,198
2;113,198
2;-30,197
2;-28,197
1;40,185
1;42,185
2;80,197
2;84,197
0;104,213
0;105,213
2;89,197
0;112,213
0;116,213
2;105,197
2;111,197
2;113,197
2;114,197
2;-30,196
2;-29,196
2;77,196
0;97,212
2;80,196
0;103,212
0;104,212
0;111,212
0;113,212
2;101,196
0;126,212
2;112,196
2;113,196
2;115,196
1;-4,183
1;-2,183
2;-27,195
0;32,211
2;15,195
2;16,195
1;88,183
0;83,211
0;89,211
2;74,195
0;96,211
2;79,195
0;100,211
2;91,195
2;92,195
2;101,195
2;103,195
0;125,211
0;127,211
2;110,195
2;113,195
2;114,195
2;116,195
1;-4,182
2;-27,194
1;1,182
1;37,182
1;38,182
0;32,210
2;14,194
2;16,194
0;77,210
2;60,194
2;61,194
0;88,210
2;72,194
0;93,210
2;75,194
2;79,194
0;103,210
2;86,194
2;91,194
2;93,194
2;94,194
2;99,194
0;122,210
2;107,194
0;127,210
2;110,194
2;111,194
1;-4,181
1;-1,181
2;11,193
1;40,181
1;41,181
2;16,193
2;17,193
2;20,193
1;82,181
1;89,181
1;91,181
0;85,209
2;69,193
0;94,209
2;76,193
2;78,193
0;99,209
2;83,193
2;91,193
2;92,193
2;93,193
0;117,209
0;118,209
2;101,193
2;105,193
2;107,193
0;131,209
2;113,193
2;116,193
2;-30,192
2;-29,192
2;7,192
2;9,192
0;32,208
0;34,208
2;18,192
2;22,192
2;57,192
0;83,208
2;66,192
2;72,192
2;73,192
0;102,208
0;103,208
0;105,208
2;91,192
0;113,208
2;97,192
0;119,208
0;120,208
2;103,192
2;108,192
0;129,208
2;112,192
2;118,192
2;119,192
2;-29,191
2;-27,191
0;23,207
1;33,179
1;34,179
2;9,191
2;10,191
0;31,207
2;15,191
2;20,191
2;23,191
2;52,191
0;78,207
0;86,207
0;88,207
0;89,207
2;71,191
0;92,207
2;76,191
0;100,207
2;82,191
0;104,207
2;89,191
2;98,191
0;119,207
2;103,191
2;105,191
2;107,191
2;110,191
2;111,191
2;114,191
2;120,191
1;-2,178
1;0,178
2;1,190
2;4,190
2;9,190
0;30,206
0;32,206
2;16,190
2;19,190
2;22,190
0;68,206
1;78,178
0;73,206
1;82,178
0;78,206
2;63,190
0;85,206
1;93,178
0;89,206
2;74,190
2;77,190
2;79,190
0;99,206
2;83,190
2;87,190
2;90,190
2;92,190
2;95,190
0;119,206
2;103,190
0;135,206
2;118,190
2;120,190
1;-4,177
1;-1,177
0;17,205
1;25,177
1;28,177
2;5,189
2;8,189
0;33,205
0;36,205
2;18,189
1;73,177
1;79,177
0;73,205
2;56,189
0;76,205
0;77,205
0;86,205
0;93,205
2;76,189
0;98,205
0;99,205
2;83,189
2;88,189
2;97,189
2;101,189
2;104,189
2;106,189
2;109,189
2;112,189
0;133,205
2;115,189
2;117,189
2;123,189
2;-30,188
2;-26,188
2;-3,188
2;-1,188
0;20,204
2;4,188
2;15,188
0;36,204
2;18,188
2;20,188
2;25,188
0;62,204
2;46,188
0;70,204
0;74,204
2;58,188
2;59,188
2;71,188
0;93,204
2;76,188
2;79,188
2;82,188
2;86,188
2;88,188
2;91,188
2;93,188
0;115,204
2;99,188
2;105,188
2;106,188
2;108,188
2;113,188
2;115,188
2;117,188
2;122,188
2;124,188
2;-29,187
2;-22,187
1;19,175
1;22,175
0;20,203
0;22,203
2;6,187
2;11,187
0;32,203
2;22,187
2;23,187
1;66,175
2;41,187
0;63,203
1;73,175
1;75,175
2;51,187
2;53,187
0;76,203
0;81,203
0;86,203
2;69,187
0;91,203
2;73,187
1;101,175
0;96,203
2;80,187
0;103,203
2;85,187
2;92,187
0;114,203
0;118,203
2;103,187
2;106,187
2;110,187
2;116,187
2;117,187
2;119,187
2;125,187
1;-3,174
0;-8,202
1;0,174
2;-24,186
2;-10,186
0;13,202
0;14,202
0;18,202
0;22,202
2;6,186
0;26,202
2;14,186
2;19,186
2;22,186
2;24,186
1;67,174
0;62,202
2;44,186
2;51,186
2;52,186
2;55,186
2;61,186
2;62,186
2;66,186
1;97,174
2;74,186
2;76,186
2;80,186
2;81,186
0;105,202
2;89,186
0;112,202
2;95,186
2;96,186
2;100,186
2;103,186
2;105,186
0;129,202
0;130,202
2;113,186
2;114,186
2;124,186
2;126,186
2;-24,185
0;-2,201
1;7,173
0;4,201
2;-13,185
2;-7,185
0;15,201
2;-2,185
0;21,201
2;3,185
2;7,185
0;29,201
2;12,185
0;35,201
0;36,201
0;39,201
2;24,185
2;42,185
0;62,201
2;46,185
2;51,185
1;84,173
2;60,185
0;81,201
1;91,173
0;86,201
2;69,185
2;74,185
0;99,201
2;84,185
2;87,185
0;109,201
2;91,185
2;95,185
2;98,185
0;118,201
2;102,185
2;105,185
2;110,185
0;133,201
2;116,185
2;118,185
2;125,185
1;-3,172
2;-28,184
2;-25,184
0;-2,200
2;-19,184
2;-17,184
2;-8,184
0;14,200
2;-4,184
